spec_path,file_path,segment_id,start,end,label_binary,label_multiclass,label_class_name,activity_code,sample_id,dataset,split
data\processed\dronerf_spectrograms\spec_000000.npy,data\raw\DroneRF\AR drone\10100H_0.csv,0,0,131072,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000001.npy,data\raw\DroneRF\AR drone\10100H_0.csv,1,65536,196608,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000002.npy,data\raw\DroneRF\AR drone\10100H_0.csv,2,131072,262144,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000003.npy,data\raw\DroneRF\AR drone\10100H_0.csv,3,196608,327680,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000004.npy,data\raw\DroneRF\AR drone\10100H_0.csv,4,262144,393216,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000005.npy,data\raw\DroneRF\AR drone\10100H_0.csv,5,327680,458752,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000006.npy,data\raw\DroneRF\AR drone\10100H_0.csv,6,393216,524288,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000007.npy,data\raw\DroneRF\AR drone\10100H_0.csv,7,458752,589824,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000008.npy,data\raw\DroneRF\AR drone\10100H_0.csv,8,524288,655360,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000009.npy,data\raw\DroneRF\AR drone\10100H_0.csv,9,589824,720896,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000010.npy,data\raw\DroneRF\AR drone\10100H_0.csv,10,655360,786432,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000011.npy,data\raw\DroneRF\AR drone\10100H_0.csv,11,720896,851968,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000012.npy,data\raw\DroneRF\AR drone\10100H_0.csv,12,786432,917504,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000013.npy,data\raw\DroneRF\AR drone\10100H_0.csv,13,851968,983040,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000014.npy,data\raw\DroneRF\AR drone\10100H_0.csv,14,917504,1048576,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000015.npy,data\raw\DroneRF\AR drone\10100H_0.csv,15,983040,1114112,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000016.npy,data\raw\DroneRF\AR drone\10100H_0.csv,16,1048576,1179648,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000017.npy,data\raw\DroneRF\AR drone\10100H_0.csv,17,1114112,1245184,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000018.npy,data\raw\DroneRF\AR drone\10100H_0.csv,18,1179648,1310720,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000019.npy,data\raw\DroneRF\AR drone\10100H_0.csv,19,1245184,1376256,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000020.npy,data\raw\DroneRF\AR drone\10100H_0.csv,20,1310720,1441792,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000021.npy,data\raw\DroneRF\AR drone\10100H_0.csv,21,1376256,1507328,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000022.npy,data\raw\DroneRF\AR drone\10100H_0.csv,22,1441792,1572864,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000023.npy,data\raw\DroneRF\AR drone\10100H_0.csv,23,1507328,1638400,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000024.npy,data\raw\DroneRF\AR drone\10100H_0.csv,24,1572864,1703936,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000025.npy,data\raw\DroneRF\AR drone\10100H_0.csv,25,1638400,1769472,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000026.npy,data\raw\DroneRF\AR drone\10100H_0.csv,26,1703936,1835008,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000027.npy,data\raw\DroneRF\AR drone\10100H_0.csv,27,1769472,1900544,1,1,AR drone,10100H,0,DroneRF,val
