file_path,segment_id,start,end,label_binary,label_multiclass,label_class_name,activity_code,sample_id,dataset,split
data\raw\DroneRF\AR drone\10100H_0.csv,0,0,131072,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,1,65536,196608,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,2,131072,262144,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,3,196608,327680,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,4,262144,393216,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,5,327680,458752,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,6,393216,524288,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,7,458752,589824,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,8,524288,655360,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,9,589824,720896,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,10,655360,786432,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,11,720896,851968,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,12,786432,917504,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,13,851968,983040,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,14,917504,1048576,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,15,983040,1114112,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,16,1048576,1179648,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,17,1114112,1245184,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,18,1179648,1310720,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,19,1245184,1376256,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,20,1310720,1441792,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,21,1376256,1507328,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,22,1441792,1572864,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,23,1507328,1638400,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,24,1572864,1703936,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,25,1638400,1769472,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,26,1703936,1835008,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,27,1769472,1900544,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,28,1835008,1966080,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,29,1900544,2031616,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,30,1966080,2097152,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,31,2031616,2162688,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,32,2097152,2228224,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,33,2162688,2293760,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,34,2228224,2359296,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,35,2293760,2424832,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,36,2359296,2490368,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,37,2424832,2555904,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,38,2490368,2621440,1,1,AR drone,10100H,0,DroneRF,val
data\raw\DroneRF\AR drone\10100H_0.csv,39,2555904,2686976,1,1,AR drone,10100H,0,DroneRF,val
